date,fips,confirmed,deaths
2020-03-26,60,0,0
2020-03-26,66,45,1
2020-03-26,69,0,0
2020-03-26,72,64,2
2020-03-26,78,17,0
2020-03-26,10001,17,0
2020-03-26,10003,86,0
2020-03-26,10005,27,1
2020-03-26,11001,231,3
2020-03-26,12001,49,0
2020-03-26,12003,5,0
2020-03-26,12005,3,0
2020-03-26,12007,1,0
2020-03-26,12009,13,0
2020-03-26,12011,504,3
2020-03-26,12013,0,0
2020-03-26,12015,3,0
2020-03-26,12017,11,1
2020-03-26,12019,19,4
2020-03-26,12021,65,0
2020-03-26,12023,3,0
2020-03-26,12027,5,0
2020-03-26,12029,0,0
2020-03-26,12031,74,3
2020-03-26,12033,19,0
2020-03-26,12035,7,0
2020-03-26,12037,0,0
2020-03-26,12039,1,0
2020-03-26,12041,0,0
2020-03-26,12043,0,0
2020-03-26,12045,0,0
2020-03-26,12047,0,0
2020-03-26,12049,0,0
2020-03-26,12051,0,0
2020-03-26,12053,9,0
2020-03-26,12055,5,0
2020-03-26,12057,142,1
2020-03-26,12059,0,0
2020-03-26,12061,13,0
2020-03-26,12063,1,0
2020-03-26,12065,0,0
2020-03-26,12067,0,0
2020-03-26,12069,25,0
2020-03-26,12071,56,3
2020-03-26,12073,9,1
2020-03-26,12075,0,0
2020-03-26,12077,0,0
2020-03-26,12079,0,0
2020-03-26,12081,26,1
2020-03-26,12083,5,0
2020-03-26,12085,8,0
2020-03-26,12086,616,0
2020-03-26,12087,12,0
2020-03-26,12089,5,0
2020-03-26,12091,21,0
2020-03-26,12093,0,0
2020-03-26,12095,110,4
2020-03-26,12097,42,0
2020-03-26,12099,169,3
2020-03-26,12101,19,1
2020-03-26,12103,64,1
2020-03-26,12105,17,0
2020-03-26,12107,12,0
2020-03-26,12109,33,1
2020-03-26,12111,10,0
2020-03-26,12113,9,1
2020-03-26,12115,34,1
2020-03-26,12117,37,0
2020-03-26,12119,24,0
2020-03-26,12121,0,0
2020-03-26,12123,0,0
2020-03-26,12125,0,0
2020-03-26,12127,29,0
2020-03-26,12129,0,0
2020-03-26,12131,13,0
2020-03-26,12133,0,0
2020-03-26,13001,0,0
2020-03-26,13003,0,0
2020-03-26,13005,0,0
2020-03-26,13007,1,0
2020-03-26,13009,2,0
2020-03-26,13011,0,0
2020-03-26,13013,4,0
2020-03-26,13015,86,1
2020-03-26,13017,1,0
2020-03-26,13019,0,0
2020-03-26,13021,8,0
2020-03-26,13023,0,0
2020-03-26,13025,0,0
2020-03-26,13027,0,0
2020-03-26,13029,3,0
2020-03-26,13031,0,0
2020-03-26,13033,1,0
2020-03-26,13035,3,0
2020-03-26,13037,0,0
2020-03-26,13039,2,0
2020-03-26,13043,0,0
2020-03-26,13045,50,0
2020-03-26,13047,1,0
2020-03-26,13049,1,0
2020-03-26,13051,9,0
2020-03-26,13053,0,0
2020-03-26,13055,1,0
2020-03-26,13057,38,0
2020-03-26,13059,24,1
2020-03-26,13061,0,0
2020-03-26,13063,32,0
2020-03-26,13065,1,0
2020-03-26,13067,115,2
2020-03-26,13069,2,0
2020-03-26,13071,4,0
2020-03-26,13073,10,0
2020-03-26,13075,0,0
2020-03-26,13077,12,0
2020-03-26,13079,0,0
2020-03-26,13081,4,0
2020-03-26,13083,0,0
2020-03-26,13085,3,0
2020-03-26,13087,2,0
2020-03-26,13089,129,0
2020-03-26,13091,1,0
2020-03-26,13093,0,0
2020-03-26,13095,156,6
2020-03-26,13097,18,0
2020-03-26,13099,7,1
2020-03-26,13101,0,0
2020-03-26,13103,3,0
2020-03-26,13105,0,0
2020-03-26,13107,0,0
2020-03-26,13109,0,0
2020-03-26,13111,1,0
2020-03-26,13113,14,1
2020-03-26,13115,16,1
2020-03-26,13117,15,0
2020-03-26,13119,0,0
2020-03-26,13121,211,2
2020-03-26,13123,0,0
2020-03-26,13125,0,0
2020-03-26,13127,5,0
2020-03-26,13129,9,0
2020-03-26,13131,0,0
2020-03-26,13133,1,0
2020-03-26,13135,75,1
2020-03-26,13137,0,0
2020-03-26,13139,21,0
2020-03-26,13141,0,0
2020-03-26,13143,0,0
2020-03-26,13145,1,0
2020-03-26,13147,0,0
2020-03-26,13149,1,0
2020-03-26,13151,25,0
2020-03-26,13153,9,0
2020-03-26,13155,2,0
2020-03-26,13157,1,0
2020-03-26,13159,2,0
2020-03-26,13161,0,0
